Room,Yesterday,08 (F),09 (S),10 (S),11 (M),12 (T),13 (W),14 (T),15,16,17,18,19,20,21,22,23,24,25,26,27
21 Queen,,#67245,,#67304,#67304,#67304,#67304,#64001,X,X,,X,X,X,X,,,,,,
22 Double,,#67154,,,,,,#66812,X,X,,,,,,,,,X,,
23 Queen,#67114,,#66549,,,,,#63752,X,X,,X,X,X,X,,,,,,
24 Double,,,,,,,,#66709,X,X,X,,,,,,,,X,,
25 Queen,#67113,,#65609,,,,,#64960,X,,,X,X,X,X,,,,,,
26 ADA Double Room,,,,,,,,#64637,X,X,,,,,,,,,,,
27 Queen,,,#66322,,#67295,#67295,#67295,#63752,X,X,,,,,X,X,X,X,,X,X
28 Double,,,,,,,,#65350,X,X,,,,,,,,X,,,
29 Queen,#67288,#67288,,#67111,#67111,#67111,#67111,#62901,X,X,,,,,X,X,X,X,X,,
31 Queen,,,#65927,,,,,#63451,X,X,,,,,,,,,,,
Room,Yesterday,08 (F),09 (S),10 (S),11 (M),12 (T),13 (W),14 (T),15,16,17,18,19,20,21,22,23,24,25,26,27
32 Double,,,,,,,,#61604,X,,,,,,,,,,,,
33 Queen,,#66440,#66440,#66440,#66440,#66440,,#61604,X,X,X,X,X,X,X,,,,,,
34 Double,,,,,,,,#61604,X,X,X,,,,,,,,,,
35 Queen,,,,,,#67282,#67282,#67282,X,B,,,,,,,,,,,
36 Double,,,#65610,,,,,#61604,X,X,X,,,,,,,,,,
37 Queen,#67286,#67286,#67286,#67286,#67286,#67286,#67286,#61604,X,X,X,X,X,X,X,,,,,,
38 King Jacuzzi Room,,,#66983,,,,,#61604,X,,,,,,,,,,X,X,X
39 Queen,#67193,,,#67303,#67303,#67303,#67303,#61604,X,,X,X,X,X,X,,,,,,
41 Queen,,#67256,#67256,,,,,#61604,X,,X,X,X,X,,,,,,,X
42 ADA King Jacuzzi Room,,,#66340,,,,,#61604,X,,,,,,,,,,,,
Room,Yesterday,08 (F),09 (S),10 (S),11 (M),12 (T),13 (W),14 (T),15,16,17,18,19,20,21,22,23,24,25,26,27
43 Two Bedroom Suite with Kitchen,#67228,#66170,,,,,,#61604,X,,,,,,X,X,X,,,,
Arriving,Yesterday,08 (F),09 (S),10 (S),11 (M),12 (T),13 (W),14 (T),15,16,17,18,19,20,21,22,23,24,25,26,27
Adults,0,10,14,6,2,2,0,40,4,10,10,6,0,0,6,0,0,2,6,2,2
Children,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Legend: B = Block, R = Repair, C = Call, X = Future Reservation",,,,,,,,,,,,,,,,,,,,,
